Dates,H,Interval,UTC-3,Corrected_Date,Datetime_UTC0
1964-01-01,28436.0,0-1h,21,1964-01-01,1964-01-01 21:00:00
1964-01-01,28438.0,1-2h,22,1964-01-01,1964-01-01 22:00:00
1964-01-01,28438.0,2-3h,23,1964-01-01,1964-01-01 23:00:00
1964-01-01,28438.0,3-4h,0,1964-01-02,1964-01-02 00:00:00
1964-01-01,28451.0,4-5h,1,1964-01-02,1964-01-02 01:00:00
1964-01-01,28454.0,5-6h,2,1964-01-02,1964-01-02 02:00:00
1964-01-01,28462.0,6-7h,3,1964-01-02,1964-01-02 03:00:00
1964-01-01,28475.0,7-8h,4,1964-01-02,1964-01-02 04:00:00
1964-01-01,28483.0,8-9h,5,1964-01-02,1964-01-02 05:00:00
1964-01-01,28491.0,9-10h,6,1964-01-02,1964-01-02 06:00:00
1964-01-01,28490.0,10-11h,7,1964-01-02,1964-01-02 07:00:00
1964-01-01,28489.0,11-12h,8,1964-01-02,1964-01-02 08:00:00
1964-01-01,28482.0,12-13h,9,1964-01-02,1964-01-02 09:00:00
1964-01-01,28473.0,13-14h,10,1964-01-02,1964-01-02 10:00:00
1964-01-01,28476.0,14-15h,11,1964-01-02,1964-01-02 11:00:00
1964-01-01,28469.0,15-16h,12,1964-01-02,1964-01-02 12:00:00
1964-01-01,28458.0,16-17h,13,1964-01-02,1964-01-02 13:00:00
1964-01-01,28453.0,17-18h,14,1964-01-02,1964-01-02 14:00:00
1964-01-01,28460.0,18-19h,15,1964-01-02,1964-01-02 15:00:00
1964-01-01,28454.0,19-20h,16,1964-01-02,1964-01-02 16:00:00
1964-01-01,28450.0,20-21h,17,1964-01-02,1964-01-02 17:00:00
1964-01-01,28449.0,21-22h,18,1964-01-02,1964-01-02 18:00:00
1964-01-01,28450.0,22-23h,19,1964-01-02,1964-01-02 19:00:00
1964-01-01,28454.0,23-24h,20,1964-01-02,1964-01-02 20:00:00
1964-01-02,28458.0,0-1h,21,1964-01-02,1964-01-02 21:00:00
1964-01-02,28443.0,1-2h,22,1964-01-02,1964-01-02 22:00:00
