Datetime,DOY,H,D,Z,F,Hours_in_day,Hours_in_year,Data_source
1964-09-12 00:00:00,256,28408.0,-16.07,8098.0,29540.0,0,6121,WDC
1964-09-12 01:00:00,256,28408.0,-16.07,8098.0,29540.0,1,6122,WDC
1964-09-12 02:00:00,256,28411.0,-16.07,8097.0,29542.0,2,6123,WDC
1964-09-12 03:00:00,256,28410.0,-16.07,8098.0,29542.0,3,6124,WDC
1964-09-12 04:00:00,256,28406.0,-16.06,8099.0,29538.0,4,6125,WDC
1964-09-12 05:00:00,256,28406.0,-16.06,8099.0,29538.0,5,6126,WDC
1964-09-12 06:00:00,256,28407.0,-16.06,8098.0,29539.0,6,6127,WDC
1964-09-12 07:00:00,256,28408.0,-16.06,8099.0,29540.0,7,6128,WDC
1964-09-12 08:00:00,256,28411.0,-16.05,8098.0,29543.0,8,6129,WDC
1964-09-12 09:00:00,256,28413.0,-16.06,8099.0,29545.0,9,6130,WDC
1964-09-12 10:00:00,256,28420.0,-16.06,8107.0,29554.0,10,6131,WDC
1964-09-12 11:00:00,256,28425.0,-16.05,8104.0,29558.0,11,6132,WDC
1964-09-12 12:00:00,256,28441.0,-16.06,8097.0,29571.0,12,6133,WDC
1964-09-12 13:00:00,256,28452.0,-16.07,8092.0,29580.0,13,6134,WDC
1964-09-12 14:00:00,256,28461.0,-16.06,8094.0,29590.0,14,6135,WDC
1964-09-12 15:00:00,256,28463.0,-16.06,8094.0,29591.0,15,6136,WDC
1964-09-12 16:00:00,256,28459.0,-16.08,8094.0,29588.0,16,6137,WDC
1964-09-12 17:00:00,256,28447.0,-16.08,8096.0,29577.0,17,6138,WDC
1964-09-12 18:00:00,256,28436.0,-16.08,8098.0,29567.0,18,6139,WDC
1964-09-12 19:00:00,256,28429.0,-16.08,8098.0,29560.0,19,6140,WDC
1964-09-12 20:00:00,256,28425.0,-16.08,8099.0,29556.0,20,6141,WDC
1964-09-12 21:00:00,256,28422.0,-16.07,8097.0,29553.0,21,6142,WDC
1964-09-12 22:00:00,256,28419.0,-16.07,8097.0,29550.0,22,6143,WDC
1964-09-12 23:00:00,256,28417.0,-16.07,8097.0,29548.0,23,6144,WDC
