Datetime,Datetime_GMT0,DOY,H,D,Z,Hours_in_day,Hours_in_year,Data_source
1964-09-04 00:00:00,1964-09-04 03:00:00,248,28417.0,-16.068333333333335,8098.0,0,5929,TTB_staff_DTA_files
1964-09-04 01:00:00,1964-09-04 04:00:00,248,28418.0,-16.066666666666666,8099.0,1,5930,TTB_staff_DTA_files
1964-09-04 02:00:00,1964-09-04 05:00:00,248,28417.0,-16.06,8098.0,2,5931,TTB_staff_DTA_files
1964-09-04 03:00:00,1964-09-04 06:00:00,248,28415.0,-16.06,8099.0,3,5932,TTB_staff_DTA_files
1964-09-04 04:00:00,1964-09-04 07:00:00,248,28414.0,-16.058333333333334,8101.0,4,5933,TTB_staff_DTA_files
1964-09-04 05:00:00,1964-09-04 08:00:00,248,28412.0,-16.048333333333332,8101.0,5,5934,TTB_staff_DTA_files
1964-09-04 06:00:00,1964-09-04 09:00:00,248,28413.0,-16.046666666666667,8101.0,6,5935,TTB_staff_DTA_files
1964-09-04 07:00:00,1964-09-04 10:00:00,248,28421.0,-16.03666666666667,8100.0,7,5936,TTB_staff_DTA_files
1964-09-04 08:00:00,1964-09-04 11:00:00,248,28428.0,-16.033333333333335,8093.0,8,5937,TTB_staff_DTA_files
1964-09-04 09:00:00,1964-09-04 12:00:00,248,28442.0,-16.045,8085.0,9,5938,TTB_staff_DTA_files
1964-09-04 10:00:00,1964-09-04 13:00:00,248,28446.0,-16.078333333333333,8077.0,10,5939,TTB_staff_DTA_files
1964-09-04 11:00:00,1964-09-04 14:00:00,248,28445.0,-16.091666666666665,8070.0,11,5940,TTB_staff_DTA_files
1964-09-04 12:00:00,1964-09-04 15:00:00,248,28450.0,-16.086666666666666,8066.0,12,5941,TTB_staff_DTA_files
1964-09-04 13:00:00,1964-09-04 16:00:00,248,28451.0,-16.085,8065.0,13,5942,TTB_staff_DTA_files
1964-09-04 14:00:00,1964-09-04 17:00:00,248,28441.0,-16.086666666666666,8072.0,14,5943,TTB_staff_DTA_files
1964-09-04 15:00:00,1964-09-04 18:00:00,248,28427.0,-16.08,8079.0,15,5944,TTB_staff_DTA_files
1964-09-04 16:00:00,1964-09-04 19:00:00,248,28409.0,-16.083333333333332,8083.0,16,5945,TTB_staff_DTA_files
1964-09-04 17:00:00,1964-09-04 20:00:00,248,28403.0,-16.093333333333334,8089.0,17,5946,TTB_staff_DTA_files
1964-09-04 18:00:00,1964-09-04 21:00:00,248,28404.0,-16.07,8094.0,18,5947,TTB_staff_DTA_files
1964-09-04 19:00:00,1964-09-04 22:00:00,248,28403.0,-16.065,8095.0,19,5948,TTB_staff_DTA_files
1964-09-04 20:00:00,1964-09-04 23:00:00,248,28400.0,-16.071666666666665,8097.0,20,5949,TTB_staff_DTA_files
1964-09-04 21:00:00,1964-09-04 00:00:00,248,28403.0,-16.071666666666665,8095.0,21,5950,TTB_staff_DTA_files
1964-09-04 22:00:00,1964-09-04 01:00:00,248,28411.0,-16.066666666666666,8092.0,22,5951,TTB_staff_DTA_files
1964-09-04 23:00:00,1964-09-04 02:00:00,248,28409.0,-16.066666666666666,8094.0,23,5952,TTB_staff_DTA_files
