Datetime_GMT0,DOY,H,D,Z,F,Hours_in_day,Hours_in_year,Data_source
1964-09-04 00:00:00,248,28422.0,-16.07,8097.0,29553.0,0,5929,WDC
1964-09-04 01:00:00,248,28417.0,-16.07,8098.0,29548.0,1,5930,WDC
1964-09-04 02:00:00,248,28411.0,-16.07,8100.0,29543.0,2,5931,WDC
1964-09-04 03:00:00,248,28417.0,-16.07,8098.0,29548.0,3,5932,WDC
1964-09-04 04:00:00,248,28418.0,-16.07,8099.0,29550.0,4,5933,WDC
1964-09-04 05:00:00,248,28417.0,-16.06,8098.0,29548.0,5,5934,WDC
1964-09-04 06:00:00,248,28415.0,-16.06,8099.0,29547.0,6,5935,WDC
1964-09-04 07:00:00,248,28414.0,-16.06,8101.0,29546.0,7,5936,WDC
1964-09-04 08:00:00,248,28412.0,-16.05,8101.0,29544.0,8,5937,WDC
1964-09-04 09:00:00,248,28413.0,-16.05,8101.0,29545.0,9,5938,WDC
1964-09-04 10:00:00,248,28421.0,-16.04,8100.0,29553.0,10,5939,WDC
1964-09-04 11:00:00,248,28428.0,-16.03,8093.0,29558.0,11,5940,WDC
1964-09-04 12:00:00,248,28442.0,-16.05,8085.0,29569.0,12,5941,WDC
1964-09-04 13:00:00,248,28446.0,-16.08,8077.0,29570.0,13,5942,WDC
1964-09-04 14:00:00,248,28445.0,-16.09,8070.0,29568.0,14,5943,WDC
1964-09-04 15:00:00,248,28450.0,-16.09,8066.0,29571.0,15,5944,WDC
1964-09-04 16:00:00,248,28451.0,-16.08,8065.0,29572.0,16,5945,WDC
1964-09-04 17:00:00,248,28441.0,-16.09,8072.0,29564.0,17,5946,WDC
1964-09-04 18:00:00,248,28427.0,-16.08,8079.0,29553.0,18,5947,WDC
1964-09-04 19:00:00,248,28409.0,-16.08,8083.0,29537.0,19,5948,WDC
1964-09-04 20:00:00,248,28403.0,-16.09,8089.0,29532.0,20,5949,WDC
1964-09-04 21:00:00,248,28404.0,-16.07,8094.0,29535.0,21,5950,WDC
1964-09-04 22:00:00,248,28403.0,-16.07,8095.0,29534.0,22,5951,WDC
1964-09-04 23:00:00,248,28400.0,-16.07,8097.0,29532.0,23,5952,WDC
