Datetime_GMT-3,DOY,H,D,Z,Hours_in_day,Hours_in_year,Data_source
1964-01-01 00:00:00,1,28436.0,-15.971666666666666,8204.0,0,1,TTB_staff_DTA_files
1964-01-01 01:00:00,1,28438.0,-15.97,8204.0,1,2,TTB_staff_DTA_files
1964-01-01 02:00:00,1,28438.0,-15.978333333333333,8204.0,2,3,TTB_staff_DTA_files
1964-01-01 03:00:00,1,28438.0,-15.981666666666666,8205.0,3,4,TTB_staff_DTA_files
1964-01-01 04:00:00,1,28451.0,-15.978333333333333,8206.0,4,5,TTB_staff_DTA_files
1964-01-01 05:00:00,1,28454.0,-15.975,8205.0,5,6,TTB_staff_DTA_files
1964-01-01 06:00:00,1,28462.0,-15.985000000000001,8200.0,6,7,TTB_staff_DTA_files
1964-01-01 07:00:00,1,28475.0,-15.996666666666666,8200.0,7,8,TTB_staff_DTA_files
1964-01-01 08:00:00,1,28483.0,-15.981666666666666,8200.0,8,9,TTB_staff_DTA_files
1964-01-01 09:00:00,1,28491.0,-15.955,8194.0,9,10,TTB_staff_DTA_files
1964-01-01 10:00:00,1,28490.0,-15.926666666666668,8190.0,10,11,TTB_staff_DTA_files
1964-01-01 11:00:00,1,28489.0,-15.918333333333333,8186.0,11,12,TTB_staff_DTA_files
1964-01-01 12:00:00,1,28482.0,-15.948333333333332,8183.0,12,13,TTB_staff_DTA_files
1964-01-01 13:00:00,1,28473.0,-15.975,8190.0,13,14,TTB_staff_DTA_files
1964-01-01 14:00:00,1,28476.0,-15.979999999999999,8200.0,14,15,TTB_staff_DTA_files
1964-01-01 15:00:00,1,28469.0,-15.956666666666667,8208.0,15,16,TTB_staff_DTA_files
1964-01-01 16:00:00,1,28458.0,-15.946666666666665,8208.0,16,17,TTB_staff_DTA_files
1964-01-01 17:00:00,1,28453.0,-15.96,8208.0,17,18,TTB_staff_DTA_files
1964-01-01 18:00:00,1,28460.0,-15.956666666666667,8204.0,18,19,TTB_staff_DTA_files
1964-01-01 19:00:00,1,28454.0,-15.956666666666667,8204.0,19,20,TTB_staff_DTA_files
1964-01-01 20:00:00,1,28450.0,-15.958333333333334,8204.0,20,21,TTB_staff_DTA_files
1964-01-01 21:00:00,1,28449.0,-15.955,8202.0,21,22,TTB_staff_DTA_files
1964-01-01 22:00:00,1,28450.0,-15.96,8202.0,22,23,TTB_staff_DTA_files
1964-01-01 23:00:00,1,28454.0,-15.961666666666668,8201.0,23,24,TTB_staff_DTA_files
1964-01-02 00:00:00,2,28458.0,-15.973333333333333,8200.0,0,25,TTB_staff_DTA_files
1964-01-02 01:00:00,2,28443.0,-15.986666666666668,8205.0,1,26,TTB_staff_DTA_files
