Component,Date,Observed_baseline_nT,Date_baseline_means,Baseline_means_nT,Decimal_year,Month
H,1964-01-07,28244,1964-01-07,28245,1964.016393442623,1
H,1964-01-14,28241,1964-01-14,28243,1964.035519125683,1
H,1964-01-21,28243,1964-01-21,28242,1964.0546448087432,1
H,1964-01-28,28243,1964-01-29,28244,1964.0765027322404,1
H,1964-02-07,28246,1964-02-05,28245,1964.0956284153006,2
H,1964-02-11,28247,1964-02-12,28247,1964.1147540983607,2
H,1964-02-19,28248,1964-02-18,28245,1964.1311475409836,2
H,1964-02-27,28240,1964-02-25,28245,1964.1502732240438,2
H,1964-03-03,28246,1964-03-03,28241,1964.1693989071039,3
H,1964-03-10,28237,1964-03-10,28240,1964.188524590164,3
H,1964-03-17,28237,1964-03-17,28239,1964.207650273224,3
H,1964-03-24,28242,1964-03-24,28239,1964.2267759562842,3
H,1964-03-31,28239,1964-03-31,28240,1964.2459016393443,3
H,1964-04-07,28240,1964-04-07,28240,1964.2650273224044,4
H,1964-04-14,28241,1964-04-14,28239,1964.2841530054645,4
H,1964-04-21,28235,1964-04-21,28239,1964.3032786885246,4
H,1964-04-28,28241,1964-04-28,28237,1964.3224043715848,4
H,1964-05-05,28234,1964-05-05,28238,1964.3415300546449,5
H,1964-05-12,28238,1964-05-12,28238,1964.360655737705,5
H,1964-05-19,28237,1964-05-19,28236,1964.379781420765,5
H,1964-05-26,28231,1964-05-26,28234,1964.3989071038252,5
H,1964-06-02,28239,1964-06-02,28234,1964.4180327868853,6
H,1964-06-09,28232,1964-06-09,28234,1964.4371584699454,6
H,1964-06-16,28232,1964-06-16,28231,1964.4562841530055,6
H,1964-06-23,28230,1964-06-23,28232,1964.4754098360656,6
H,1964-07-01,28233,1964-06-30,28231,1964.4945355191257,6
H,1964-07-07,28230,1964-07-07,28230,1964.5136612021859,7
H,1964-07-14,28227,1964-07-14,28228,1964.532786885246,7
H,1964-07-21,28226,1964-07-21,28227,1964.551912568306,7
H,1964-07-28,28227,1964-07-28,28226,1964.5710382513662,7
H,1964-08-04,28226,1964-08-04,28227,1964.5901639344263,8
H,1964-08-11,28229,1964-08-11,28227,1964.6092896174864,8
H,1964-08-18,28226,1964-08-18,28226,1964.6284153005465,8
H,1964-08-25,28224,1964-08-25,28226,1964.6475409836066,8
H,1964-09-01,28227,1964-09-02,28223,1964.6693989071039,9
H,1964-09-12,28218,1964-09-09,28222,1964.688524590164,9
H,1964-09-15,28220,1964-09-16,28221,1964.707650273224,9
H,1964-09-22,28224,1964-09-22,28222,1964.724043715847,9
H,1964-09-29,28223,1964-09-29,28226,1964.7431693989072,9
H,1964-10-06,28230,1964-10-06,28225,1964.7622950819673,10
H,1964-10-13,28222,1964-10-13,28223,1964.7814207650274,10
H,1964-10-20,28218,1964-10-25,28221,1964.8142076502731,10
H,1964-11-11,28224,1964-11-05,28222,1964.844262295082,11
H,1964-11-14,28223,1964-11-14,28222,1964.8688524590164,11
H,1964-11-17,28222,1964-11-18,28223,1964.879781420765,11
H,1964-11-24,28220,1964-11-24,28219,1964.896174863388,11
H,1964-12-01,28216,1964-12-01,28217,1964.9153005464482,12
H,1964-12-08,28214,1964-12-08,28217,1964.9344262295083,12
H,1964-12-15,28222,1964-12-16,28218,1964.9562841530055,12
H,1964-12-26,28219,1964-12-24,28221,1964.9781420765028,12
H,1964-12-31,28223,1964-12-31,28219,1964.9972677595629,12
