Component,Date,Observed_baseline_nT,Date_baseline_means,Baseline_means_nT,Decimal_year,Month
Z,1964-01-02,7978.0,1964-01-02,7977.0,1964.0027322404371,1
Z,1964-01-06,7974.0,1964-01-07,7975.0,1964.016393442623,1
Z,1964-01-14,7973.0,1964-01-13,7974.0,1964.032786885246,1
Z,1964-01-20,7975.0,1964-01-20,7976.0,1964.051912568306,1
Z,1964-03-20,7954.0,1964-03-20,7960.0,1964.2158469945355,3
Z,1964-03-24,7960.0,1964-03-25,7956.0,1964.2295081967213,3
Z,1964-03-31,7954.0,1964-03-31,7959.0,1964.2459016393443,3
Z,1964-04-06,7962.0,1964-04-06,7955.0,1964.2622950819673,4
Z,1964-04-11,7950.0,1964-03-10,7954.0,1964.188524590164,3
Z,1964-04-13,7949.0,1964-03-13,7950.0,1964.1967213114754,3
Z,1964-04-16,7952.0,1964-03-17,7948.0,1964.207650273224,3
Z,1964-04-21,7942.0,1964-03-22,7945.0,1964.22131147541,3
Z,1964-04-28,7942.0,1964-03-28,7945.0,1964.2377049180327,3
Z,1964-05-04,7951.0,1964-05-04,7945.0,1964.3387978142077,5
Z,1964-05-11,7942.0,1964-05-11,7944.0,1964.3579234972678,5
Z,1964-05-19,7939.0,1964-05-18,7943.0,1964.377049180328,5
Z,1964-05-25,7948.0,1964-05-25,7945.0,1964.396174863388,5
Z,1964-06-01,7949.0,1964-06-01,7949.0,1964.4153005464482,6
Z,1964-06-09,7949.0,1964-06-09,7943.0,1964.4371584699454,6
Z,1964-06-16,7930.0,1964-06-16,7937.0,1964.4562841530055,6
Z,1964-06-23,7932.0,1964-06-23,7933.0,1964.4754098360656,6
Z,1964-06-29,7937.0,1964-06-29,7935.0,1964.4918032786886,6
Z,1964-07-06,7935.0,1964-07-06,7934.0,1964.5109289617487,7
Z,1964-07-13,7927.0,1964-07-13,7934.0,1964.5300546448088,7
Z,1964-07-20,7937.0,1964-07-20,7934.0,1964.549180327869,7
Z,1964-07-27,7933.0,1964-07-27,7934.0,1964.568306010929,7
Z,1964-08-03,7931.0,1964-08-03,7934.0,1964.5874316939892,8
Z,1964-08-10,7937.0,1964-08-10,7935.0,1964.6065573770493,8
Z,1964-08-17,7936.0,1964-08-18,7934.0,1964.6284153005465,8
Z,1964-08-26,7930.0,1964-08-25,7938.0,1964.6475409836066,8
Z,1964-09-01,7917.0,1964-09-01,7922.0,1964.6666666666667,9
Z,1964-09-07,7920.0,1964-09-07,7916.0,1964.6830601092897,9
Z,1964-09-14,7911.0,1964-09-14,7919.0,1964.7021857923498,9
Z,1964-09-21,7927.0,1964-09-21,7920.0,1964.72131147541,9
Z,1964-09-29,7922.0,1964-09-29,7926.0,1964.7431693989072,9
Z,1964-11-16,7914.0,1964-11-18,7922.0,1964.879781420765,11
Z,1964-11-23,7923.0,1964-11-23,7916.0,1964.8934426229507,11
Z,1964-11-30,7911.0,1964-11-30,7911.0,1964.9125683060108,11
Z,1964-12-05,7751.0,1964-12-05,7749.0,1964.9262295081967,12
Z,1964-12-07,7750.0,1964-12-08,7750.0,1964.9344262295083,12
Z,1964-12-12,7749.0,1964-12-11,7748.0,1964.9426229508197,12
Z,1964-12-14,7746.0,1964-12-16,7746.0,1964.9562841530055,12
Z,1964-12-21,7743.0,1964-12-21,7744.0,1964.9699453551912,12
Z,1964-12-28,7741.0,1964-12-28,7738.0,1964.9890710382513,12
