Component,Date,Scale_value(min/mm),Decimal_year,Month
H,1964-01-17,3.1161,1964.0437158469945,1
H,1964-02-25,3.1232,1964.1502732240438,2
H,1964-03-28,3.1292,1964.2377049180327,3
H,1964-04-18,3.1288,1964.295081967213,4
H,1964-05-21,3.1251,1964.3852459016393,5
H,1964-06-23,3.1193,1964.4754098360656,6
H,1964-07-28,3.1296,1964.5710382513662,7
H,1964-08-27,3.1307,1964.6530054644809,8
H,1964-09-21,3.1385,1964.72131147541,9
H,1964-10-22,3.1535,1964.8060109289618,10
H,1964-11-21,3.1267,1964.8879781420765,11
H,1964-12-31,3.1205,1964.9972677595629,12
