Component,Date,Scale_value(nT/mm),Decimal_year,Month
Z,1964-01-17,3.677,1964.0437158469945,1
Z,1964-02-25,3.654,1964.1502732240438,2
Z,1964-03-28,3.647,1964.2377049180327,3
Z,1964-04-18,3.67,1964.295081967213,4
Z,1964-05-21,3.746,1964.3852459016393,5
Z,1964-06-23,3.842,1964.4754098360656,6
Z,1964-07-28,4.175,1964.5710382513662,7
Z,1964-08-27,4.033,1964.6530054644809,8
Z,1964-09-21,3.953,1964.72131147541,9
Z,1964-10-22,4.024,1964.8060109289618,10
Z,1964-11-25,4.042,1964.8989071038252,11
Z,1964-12-06,3.876,1964.9289617486338,12
Z,1964-12-12,4.015,1964.9453551912568,12
Z,1964-12-31,3.842,1964.9972677595629,12
