Datetime_GMT0,DOY,H,D,Z,F,Hours_in_day,Hours_in_year,Data_source
1964-01-01 00:00:00,1,nan,nan,nan,nan,0,1,WDC
1964-01-01 01:00:00,1,nan,nan,nan,nan,1,2,WDC
1964-01-01 02:00:00,1,nan,nan,nan,nan,2,3,WDC
1964-01-01 03:00:00,1,nan,nan,nan,nan,3,4,WDC
1964-01-01 04:00:00,1,nan,nan,nan,nan,4,5,WDC
1964-01-01 05:00:00,1,nan,nan,nan,nan,5,6,WDC
1964-01-01 06:00:00,1,nan,nan,nan,nan,6,7,WDC
1964-01-01 07:00:00,1,nan,nan,nan,nan,7,8,WDC
1964-01-01 08:00:00,1,nan,nan,nan,nan,8,9,WDC
1964-01-01 09:00:00,1,nan,nan,nan,nan,9,10,WDC
1964-01-01 10:00:00,1,nan,nan,nan,nan,10,11,WDC
1964-01-01 11:00:00,1,nan,nan,nan,nan,11,12,WDC
1964-01-01 12:00:00,1,nan,nan,nan,nan,12,13,WDC
1964-01-01 13:00:00,1,nan,nan,nan,nan,13,14,WDC
1964-01-01 14:00:00,1,nan,nan,nan,nan,14,15,WDC
1964-01-01 15:00:00,1,nan,nan,nan,nan,15,16,WDC
1964-01-01 16:00:00,1,nan,nan,nan,nan,16,17,WDC
1964-01-01 17:00:00,1,nan,nan,nan,nan,17,18,WDC
1964-01-01 18:00:00,1,nan,nan,nan,nan,18,19,WDC
1964-01-01 19:00:00,1,nan,nan,nan,nan,19,20,WDC
1964-01-01 20:00:00,1,nan,nan,nan,nan,20,21,WDC
1964-01-01 21:00:00,1,nan,nan,nan,nan,21,22,WDC
1964-01-01 22:00:00,1,nan,nan,nan,nan,22,23,WDC
1964-01-01 23:00:00,1,nan,nan,nan,nan,23,24,WDC
1964-01-02 00:00:00,2,nan,nan,nan,nan,0,25,WDC
1964-01-02 01:00:00,2,nan,nan,nan,nan,1,26,WDC
1964-01-02 02:00:00,2,nan,nan,nan,nan,2,27,WDC
1964-01-02 03:00:00,2,nan,nan,nan,nan,3,28,WDC
1964-01-02 04:00:00,2,nan,nan,nan,nan,4,29,WDC
1964-01-02 05:00:00,2,nan,nan,nan,nan,5,30,WDC
1964-01-02 06:00:00,2,nan,nan,nan,nan,6,31,WDC
1964-01-02 07:00:00,2,nan,nan,nan,nan,7,32,WDC
1964-01-02 08:00:00,2,nan,nan,nan,nan,8,33,WDC
1964-01-02 09:00:00,2,nan,nan,nan,nan,9,34,WDC
1964-01-02 10:00:00,2,nan,nan,nan,nan,10,35,WDC
1964-01-02 11:00:00,2,nan,nan,nan,nan,11,36,WDC
1964-01-02 12:00:00,2,nan,nan,nan,nan,12,37,WDC
1964-01-02 13:00:00,2,nan,nan,nan,nan,13,38,WDC
1964-01-02 14:00:00,2,nan,nan,nan,nan,14,39,WDC
1964-01-02 15:00:00,2,nan,nan,nan,nan,15,40,WDC
1964-01-02 16:00:00,2,nan,nan,nan,nan,16,41,WDC
1964-01-02 17:00:00,2,nan,nan,nan,nan,17,42,WDC
1964-01-02 18:00:00,2,nan,nan,nan,nan,18,43,WDC
1964-01-02 19:00:00,2,nan,nan,nan,nan,19,44,WDC
1964-01-02 20:00:00,2,nan,nan,nan,nan,20,45,WDC
1964-01-02 21:00:00,2,nan,nan,nan,nan,21,46,WDC
1964-01-02 22:00:00,2,nan,nan,nan,nan,22,47,WDC
1964-01-02 23:00:00,2,nan,nan,nan,nan,23,48,WDC
1964-01-03 00:00:00,3,nan,nan,nan,nan,0,49,WDC
1964-01-03 01:00:00,3,nan,nan,nan,nan,1,50,WDC
1964-01-03 02:00:00,3,nan,nan,nan,nan,2,51,WDC
1964-01-03 03:00:00,3,nan,nan,nan,nan,3,52,WDC
1964-01-03 04:00:00,3,nan,nan,nan,nan,4,53,WDC
1964-01-03 05:00:00,3,nan,nan,nan,nan,5,54,WDC
1964-01-03 06:00:00,3,nan,nan,nan,nan,6,55,WDC
1964-01-03 07:00:00,3,nan,nan,nan,nan,7,56,WDC
1964-01-03 08:00:00,3,nan,nan,nan,nan,8,57,WDC
1964-01-03 09:00:00,3,nan,nan,nan,nan,9,58,WDC
1964-01-03 10:00:00,3,nan,nan,nan,nan,10,59,WDC
1964-01-03 11:00:00,3,nan,nan,nan,nan,11,60,WDC
1964-01-03 12:00:00,3,nan,nan,nan,nan,12,61,WDC
1964-01-03 13:00:00,3,nan,nan,nan,nan,13,62,WDC
1964-01-03 14:00:00,3,nan,nan,nan,nan,14,63,WDC
1964-01-03 15:00:00,3,nan,nan,nan,nan,15,64,WDC
1964-01-03 16:00:00,3,nan,nan,nan,nan,16,65,WDC
1964-01-03 17:00:00,3,nan,nan,nan,nan,17,66,WDC
1964-01-03 18:00:00,3,nan,nan,nan,nan,18,67,WDC
1964-01-03 19:00:00,3,nan,nan,nan,nan,19,68,WDC
1964-01-03 20:00:00,3,nan,nan,nan,nan,20,69,WDC
1964-01-03 21:00:00,3,nan,nan,nan,nan,21,70,WDC
1964-01-03 22:00:00,3,nan,nan,nan,nan,22,71,WDC
1964-01-03 23:00:00,3,nan,nan,nan,nan,23,72,WDC
1964-01-04 00:00:00,4,nan,nan,nan,nan,0,73,WDC
1964-01-04 01:00:00,4,nan,nan,nan,nan,1,74,WDC
1964-01-04 02:00:00,4,nan,nan,nan,nan,2,75,WDC
1964-01-04 03:00:00,4,nan,nan,nan,nan,3,76,WDC
1964-01-04 04:00:00,4,nan,nan,nan,nan,4,77,WDC
1964-01-04 05:00:00,4,nan,nan,nan,nan,5,78,WDC
1964-01-04 06:00:00,4,nan,nan,nan,nan,6,79,WDC
1964-01-04 07:00:00,4,nan,nan,nan,nan,7,80,WDC
1964-01-04 08:00:00,4,nan,nan,nan,nan,8,81,WDC
1964-01-04 09:00:00,4,nan,nan,nan,nan,9,82,WDC
1964-01-04 10:00:00,4,nan,nan,nan,nan,10,83,WDC
1964-01-04 11:00:00,4,nan,nan,nan,nan,11,84,WDC
1964-01-04 12:00:00,4,nan,nan,nan,nan,12,85,WDC
1964-01-04 13:00:00,4,nan,nan,nan,nan,13,86,WDC
1964-01-04 14:00:00,4,nan,nan,nan,nan,14,87,WDC
1964-01-04 15:00:00,4,nan,nan,nan,nan,15,88,WDC
1964-01-04 16:00:00,4,nan,nan,nan,nan,16,89,WDC
1964-01-04 17:00:00,4,nan,nan,nan,nan,17,90,WDC
1964-01-04 18:00:00,4,nan,nan,nan,nan,18,91,WDC
1964-01-04 19:00:00,4,nan,nan,nan,nan,19,92,WDC
1964-01-04 20:00:00,4,nan,nan,nan,nan,20,93,WDC
1964-01-04 21:00:00,4,nan,nan,nan,nan,21,94,WDC
1964-01-04 22:00:00,4,nan,nan,nan,nan,22,95,WDC
1964-01-04 23:00:00,4,nan,nan,nan,nan,23,96,WDC
1964-01-05 00:00:00,5,nan,nan,nan,nan,0,97,WDC
1964-01-05 01:00:00,5,nan,nan,nan,nan,1,98,WDC
1964-01-05 02:00:00,5,nan,nan,nan,nan,2,99,WDC
1964-01-05 03:00:00,5,nan,nan,nan,nan,3,100,WDC
1964-01-05 04:00:00,5,nan,nan,nan,nan,4,101,WDC
1964-01-05 05:00:00,5,nan,nan,nan,nan,5,102,WDC
1964-01-05 06:00:00,5,nan,nan,nan,nan,6,103,WDC
1964-01-05 07:00:00,5,nan,nan,nan,nan,7,104,WDC
1964-01-05 08:00:00,5,nan,nan,nan,nan,8,105,WDC
1964-01-05 09:00:00,5,nan,nan,nan,nan,9,106,WDC
1964-01-05 10:00:00,5,nan,nan,nan,nan,10,107,WDC
1964-01-05 11:00:00,5,nan,nan,nan,nan,11,108,WDC
1964-01-05 12:00:00,5,nan,nan,nan,nan,12,109,WDC
1964-01-05 13:00:00,5,nan,nan,nan,nan,13,110,WDC
1964-01-05 14:00:00,5,nan,nan,nan,nan,14,111,WDC
1964-01-05 15:00:00,5,nan,nan,nan,nan,15,112,WDC
1964-01-05 16:00:00,5,nan,nan,nan,nan,16,113,WDC
1964-01-05 17:00:00,5,nan,nan,nan,nan,17,114,WDC
1964-01-05 18:00:00,5,nan,nan,nan,nan,18,115,WDC
1964-01-05 19:00:00,5,nan,nan,nan,nan,19,116,WDC
1964-01-05 20:00:00,5,nan,nan,nan,nan,20,117,WDC
1964-01-05 21:00:00,5,nan,nan,nan,nan,21,118,WDC
1964-01-05 22:00:00,5,nan,nan,nan,nan,22,119,WDC
1964-01-05 23:00:00,5,nan,nan,nan,nan,23,120,WDC
1964-01-06 00:00:00,6,nan,nan,nan,nan,0,121,WDC
1964-01-06 01:00:00,6,nan,nan,nan,nan,1,122,WDC
1964-01-06 02:00:00,6,nan,nan,nan,nan,2,123,WDC
1964-01-06 03:00:00,6,nan,nan,nan,nan,3,124,WDC
1964-01-06 04:00:00,6,nan,nan,nan,nan,4,125,WDC
1964-01-06 05:00:00,6,nan,nan,nan,nan,5,126,WDC
1964-01-06 06:00:00,6,nan,nan,nan,nan,6,127,WDC
1964-01-06 07:00:00,6,nan,nan,nan,nan,7,128,WDC
1964-01-06 08:00:00,6,nan,nan,nan,nan,8,129,WDC
1964-01-06 09:00:00,6,nan,nan,nan,nan,9,130,WDC
1964-01-06 10:00:00,6,nan,nan,nan,nan,10,131,WDC
1964-01-06 11:00:00,6,nan,nan,nan,nan,11,132,WDC
1964-01-06 12:00:00,6,nan,nan,nan,nan,12,133,WDC
1964-01-06 13:00:00,6,nan,nan,nan,nan,13,134,WDC
1964-01-06 14:00:00,6,nan,nan,nan,nan,14,135,WDC
1964-01-06 15:00:00,6,nan,nan,nan,nan,15,136,WDC
1964-01-06 16:00:00,6,nan,nan,nan,nan,16,137,WDC
1964-01-06 17:00:00,6,nan,nan,nan,nan,17,138,WDC
1964-01-06 18:00:00,6,nan,nan,nan,nan,18,139,WDC
1964-01-06 19:00:00,6,nan,nan,nan,nan,19,140,WDC
