Info D 9 Base_value_(unit) H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12 H13 H14 H15 H16 H17 H18 H19 H20 H21 H22 H23 H24 Daily_Mean
ttb6401H01 D 9 280 436 438 438 438 451 454 462 475 483 491 490 489 482 473 476 469 458 453 460 454 450 449 450 454 461
ttb6401H02 D 9 280 458 443 445 418 416 419 412 409 393 388 415 422 417 401 384 378 374 377 380 391 394 396 396 414 406
ttb6401H03 D 9 280 407 404 408 409 409 411 412 416 418 425 434 438 443 438 420 408 403 410 415 410 413 414 413 417 416
ttb6401H04 D 9 280 417 408 417 414 415 416 420 432 441 448 456 466 458 454 437 415 414 407 408 418 417 414 417 417 426
ttb6401H05 D 9 280 415 419 420 420 426 427 427 430 436 448 453 448 444 441 438 432 432 427 420 416 416 415 416 417 428
ttb6401H06 D 9 280 423 422 423 425 423 425 425 431 434 438 441 445 442 436 429 426 428 426 425 428 428 425 424 424 429
ttb6401H07 D 9 280 423 425 425 428 432 432 431 434 438 449 450 464 466 468 462 448 436 426 423 420 418 416 418 419 435
ttb6401H08 D 9 280 419 423 429 432 431 436 437 445 444 446 441 439 430 428 431 436 438 439 436 416 411 402 414 429 430
ttb6401H09 D 9 280 423 417 428 431 431 434 436 437 441 447 450 454 449 444 444 431 425 425 401 385 405 401 422 419 428
ttb6401H10 D 9 280 424 421 428 435 428 423 430 436 437 438 437 437 430 425 427 425 424 419 412 415 421 417 421 414 426
ttb6401H11 D 9 280 414 415 420 420 423 428 431 436 441 448 452 447 447 446 437 429 427 421 423 423 421 420 417 418 429
ttb6401H12 D 9 280 422 422 425 425 427 429 433 439 445 444 440 437 432 425 416 414 418 418 421 424 423 421 421 420 427
ttb6401H13 D 9 280 423 423 424 427 429 431 437 449 458 462 462 451 441 435 434 433 433 435 430 428 427 428 427 427 436
ttb6401H14 D 9 280 426 426 427 430 431 433 435 444 455 465 473 473 462 453 445 439 435 434 434 433 433 433 432 431 441
ttb6401H15 D 9 280 430 432 433 435 436 438 446 462 473 484 484 483 476 461 446 438 438 442 442 442 440 443 451 443 450
ttb6401H16 D 9 280 447 451 451 436 432 438 440 454 449 440 440 447 424 398 403 398 398 396 399 399 407 403 397 409 423
ttb6401H17 D 9 280 419 417 420 418 425 420 420 429 423 433 440 441 451 455 439 424 417 417 423 420 418 416 415 419 426
ttb6401H18 D 9 280 412 408 416 419 422 426 431 435 447 462 465 466 463 458 439 423 422 422 422 420 421 422 421 421 432
ttb6401H19 D 9 280 422 422 424 429 433 431 427 431 438 455 471 478 485 472 447 433 424 415 425 425 419 414 413 418 435
ttb6401H20 D 9 280 423 427 425 425 427 429 427 429 433 400 458 458 458 450 442 437 434 429 428 427 427 424 423 427 432
ttb6401H21 D 9 280 425 425 427 430 430 430 434 442 444 451 454 457 459 454 443 433 433 436 438 435 434 434 433 435 438
ttb6401H22 D 9 280 431 428 428 426 428 429 432 434 438 443 447 453 456 452 436 432 432 433 433 433 433 432 430 430 435
ttb6401H23 D 9 280 432 435 438 441 442 444 450 457 477 482 485 482 486 478 461 452 445 442 437 436 432 431 430 428 451
ttb6401H24 D 9 280 434 439 440 441 437 445 446 447 445 440 437 434 435 435 437 433 431 425 418 414 412 419 423 425 433
ttb6401H25 D 9 280 432 431 435 436 432 427 428 442 444 445 454 456 459 455 448 444 435 406 392 397 403 405 408 419 431
ttb6401H26 D 9 280 417 418 419 422 424 427 430 435 434 437 442 448 452 456 448 432 425 419 418 418 419 419 422 424 429
ttb6401H27 D 9 280 425 425 426 430 431 432 435 440 440 446 451 451 445 439 438 434 433 433 435 436 437 439 438 435 436
ttb6401H28 D 9 280 434 440 439 435 435 437 441 446 449 455 459 456 447 439 438 434 433 433 435 436 437 439 438 435 440
ttb6401H29 D 9 280 415 419 419 438 433 432 434 433 433 417 415 413 406 403 409 416 418 416 412 412 412 415 417 420 419
ttb6401H30 D 9 280 420 419 422 422 425 428 429 435 437 442 447 452 447 431 429 431 436 437 429 428 429 425 425 427 431
ttb6401H31 D 9 280 430 432 436 442 446 448 444 457 455 443 449 453 445 437 423 400 411 402 409 411 414 406 405 411 430
ttb6402H01 D 9 280 423 428 428 427 428 429 429 438 440 446 456 455 447 439 431 426 423 424 426 424 424 429 427 427 432
ttb6402H02 D 9 280 430 432 433 435 436 439 442 452 456 458 463 468 467 457 450 439 435 435 435 435 433 434 432 432 443
ttb6402H03 D 9 280 432 434 434 434 434 434 437 437 441 446 454 453 454 452 444 441 442 438 439 439 440 441 439 441 441
ttb6402H04 D 9 280 440 444 447 452 440 433 447 444 450 461 471 481 484 474 461 441 431 427 424 426 431 430 428 427 446
ttb6402H05 D 9 280 429 426 430 436 439 440 439 441 448 456 465 476 477 473 472 462 461 453 408 384 402 406 418 424 440
ttb6402H06 D 9 280 418 424 433 438 429 431 430 436 428 428 447 455 450 432 431 420 414 418 416 414 420 421 420 417 428
ttb6402H07 D 9 280 426 421 421 423 425 426 424 431 436 442 454 463 464 453 434 438 428 421 415 408 416 413 434 429 431
ttb6402H08 D 9 280 426 426 425 426 429 428 432 441 444 446 454 463 476 469 462 449 426 413 392 373 381 384 391 398 427
ttb6402H09 D 9 280 409 419 419 420 423 423 429 434 436 441 444 444 446 444 441 441 432 429 424 422 425 428 422 420 430
ttb6402H10 D 9 280 420 424 429 430 428 428 430 437 442 445 450 454 455 451 449 444 441 434 422 422 417 416 417 419 434
ttb6402H11 D 9 280 425 426 428 431 434 435 437 437 436 441 449 449 449 444 446 447 444 441 437 434 433 434 434 435 438
ttb6402H12 D 9 280 436 437 441 460 464 465 466 456 459 471 473 463 458 449 441 447 449 445 442 437 431 424 430 431 449
ttb6402H13 D 9 280 439 427 420 434 441 436 435 432 425 400 444 441 423 406 387 390 390 394 403 407 414 416 416 415 418
ttb6402H14 D 9 280 416 425 422 425 426 425 427 434 438 444 461 464 456 457 448 434 431 432 428 420 419 420 421 421 433
ttb6402H15 D 9 280 426 428 429 433 433 436 436 434 433 438 443 448 451 450 446 437 438 441 436 436 435 434 432 432 437
ttb6402H16 D 9 280 430 435 439 439 442 443 442 445 452 460 465 471 470 465 459 449 442 433 431 431 431 431 430 432 444
ttb6402H17 D 9 280 436 440 443 445 444 444 443 447 451 455 457 451 453 455 446 430 427 436 443 443 440 436 438 438 443
ttb6402H18 D 9 280 438 437 437 442 443 442 440 452 463 475 478 485 476 460 450 442 435 432 434 435 435 433 434 432 447
ttb6402H19 D 9 280 431 432 434 434 434 434 437 444 451 461 469 475 480 477 472 462 451 446 442 441 441 439 439 441 449
ttb6402H20 D 9 280 439 400 400 449 455 455 460 470 480 400 508 512 525 476 447 424 421 434 423 380 366 365 376 391 436
ttb6402H21 D 9 280 390 408 410 410 412 413 415 425 427 423 436 444 451 451 444 441 436 424 422 421 419 419 418 418 424
ttb6402H22 D 9 280 424 425 427 427 428 431 432 441 448 457 463 462 465 464 457 445 440 432 426 422 422 424 424 427 438
ttb6402H23 D 9 280 424 425 428 428 433 433 434 436 440 445 451 452 451 445 434 423 431 431 428 428 428 428 428 427 434
ttb6402H24 D 9 280 431 432 432 437 441 442 453 470 470 463 464 466 463 456 452 448 443 441 434 429 437 439 435 438 446
ttb6402H25 D 9 280 432 432 437 437 447 449 451 457 466 468 468 471 473 465 432 405 389 406 412 418 418 417 419 409 437
ttb6402H26 D 9 280 423 424 416 422 426 426 431 435 439 443 442 447 449 451 445 440 438 433 428 425 411 413 426 415 431
ttb6402H27 D 9 280 415 418 419 421 414 425 429 437 447 460 478 480 472 455 438 415 418 425 432 431 425 423 419 422 434
ttb6402H29 D 9 280 420 426 439 433 426 425 429 436 450 461 464 462 459 451 438 428 426 428 428 428 424 422 422 423 435
ttb6402H29 D 9 280 424 418 423 427 428 426 430 442 457 482 495 500 493 475 460 444 434 427 430 429 429 428 427 429 444
